,action_type,author.name,message,message_type,timestamp
192,add_chat_item,Lobo Joguinhos,Is Loretta's arena too scaled up? Always felt she was an easier boss than the area itself,text_message,1703712243905390
193,add_chat_item,Jan Rasmussen,Why is it always little bro? What about big bro!,text_message,1703712296363254
194,add_chat_item,TheMrMiloMan,"Yooooo, what is up home slices ",text_message,1703712297589492
195,add_chat_item,terence terence,do those golden centipedes do anything?,text_message,1703712302641535
196,add_chat_item,janhart ,troll incident...,text_message,1703712318796559
197,add_chat_item,Lobo Joguinhos,REMEMBER HALIGTREE TROLL STRIMER,text_message,1703712318817169
198,add_chat_item,Graham Dennis,its a crafting material;,text_message,1703712332166858
199,add_chat_item,Cerebral Energy,are you on new game plus?,text_message,1703712348756632
200,add_chat_item,WayOfTheAzakana,have u beaten gargoils,text_message,1703712354342377
201,add_chat_item,Suicidal Cow,What about the moooooooon!,text_message,1703712381929780
202,add_chat_item,EllieKatt,The elden troll!,text_message,1703712385120813
203,add_chat_item,TheMrMiloMan,"This is my first stream here, I’ll stick around until I have to go but I’ll come back",text_message,1703712391929135
204,add_chat_item,Lobo Joguinhos,GG EZ,text_message,1703712398003493
205,add_chat_item,Jan Rasmussen,Wow that dmg!,text_message,1703712401102064
206,add_chat_item,Cerebral Energy,gg,text_message,1703712404683350
207,add_chat_item,Yez zir,gg,text_message,1703712408037874
208,add_chat_item,Ricardo sanchez,E Z,text_message,1703712408305602
209,add_chat_item,Fae Ovyrn,another bully victim,text_message,1703712410936173
210,add_chat_item,Alex H,deli sliced troll,text_message,1703712413969795
211,add_chat_item,Virgile Darmon,Ỳep seed,text_message,1703712417185162
212,add_chat_item,Jan Rasmussen,Thx,text_message,1703712421393018
213,add_chat_item,Nikša Anić,thank you,text_message,1703712425708936
214,add_chat_item,FTWinchester,this is the run boys,text_message,1703712427458546
215,add_chat_item,terence terence,bless u,text_message,1703712431970399
216,add_chat_item,janhart ,whats ur ideal spot to get gargs in with the remaining arenas,text_message,1703712433607178
217,add_chat_item,NSACE,ok you the king burger king,text_message,1703712439179487
218,add_chat_item,WayOfTheAzakana,have u beaten gargoils,text_message,1703712439795216
219,add_chat_item,Cole Mitchell,gg time for gargs,text_message,1703712473021983
220,add_chat_item,Jan Rasmussen,Nice reaction time there!,text_message,1703712477321850
221,add_chat_item,Dyvel Johnny,any different Great Rune to pivot to?,text_message,1703712487156744
222,add_chat_item,Skeptical Bucketman,"Most annoying abductor in the game, had to be in the high scaled area",text_message,1703712503536654
223,add_chat_item,Jan Rasmussen,"Is it just me, or does Bushy seem very consentrated!",text_message,1703712524935422
224,add_chat_item,zephyra eurus,what does the shackle do,text_message,1703712526017075
225,add_chat_item,Lobo Joguinhos,IDEA FOR THE NEXT RUN: Beat the game NO RANDO while being able to level up and upgrade your weapons!,text_message,1703712526787239
226,add_chat_item,aaaaaaaaaaaaaa,this is it ,text_message,1703712537437201
227,add_chat_item,janhart ,"run, no balls",text_message,1703712539698512
228,add_chat_item,Macka Mckinlay,Just coming in at 15 hours exactly is great ,text_message,1703712551606459
229,add_chat_item,Cerebral Energy,shackle for margit,text_message,1703712553121183
230,add_chat_item,Penguinsbruh,mist works,text_message,1703712554174731
231,add_chat_item,Cerebral Energy,it pins him down for awhile,text_message,1703712574383811
232,add_chat_item,Lobo Joguinhos,"Jesus, I'm scared of this thing",text_message,1703712576938247
233,add_chat_item,Jan Rasmussen,gg,text_message,1703712579127164
234,add_chat_item,batsh- 47,Aim bot,text_message,1703712583193121
235,add_chat_item,Zafiez Hied,Virgin strats,text_message,1703712583248171
236,add_chat_item,Nikša Anić,fucking scary,text_message,1703712586815394
237,add_chat_item,Nikša Anić,Where is that specific virgin vanilla?,text_message,1703712599074611
238,add_chat_item,Mat,Gargs incoming ,text_message,1703712601342235
239,add_chat_item,aaaaaaaaaaaaaa,7 more bosses,text_message,1703712615468339
240,add_chat_item,Dark Magpie Studios,that one is in a key room in volcano manor,text_message,1703712630432668
241,add_chat_item,EllieKatt,remember when you were actually thinking about using the bouquet lol,text_message,1703712635149014
242,add_chat_item,Jan Rasmussen,Gargs in Elden Beast arena!,text_message,1703712635598962
243,add_chat_item,JDJE 514,fanum blood tax,text_message,1703712636956538
244,add_chat_item,Lobo Joguinhos,"I think this virgin spawns at mount gelmir, before you find azur",text_message,1703712639342210
245,add_chat_item,Nikša Anić,godskin duo is dead,text_message,1703712642478772
246,add_chat_item,CringeLord $hitAzz,gargs with that scaling? scary ,text_message,1703712647267623
247,add_chat_item,Cerebral Energy,is it possible to fight every boss in one playthrough?,text_message,1703712649228371
248,add_chat_item,janhart ,godskin and crucible duo are dead,text_message,1703712651220920
249,add_chat_item,Nikša Anić,It was CLUTCH,text_message,1703712651262820
250,add_chat_item,aaaaaaaaaaaaaa,gargs right here,text_message,1703712655804828
251,add_chat_item,EllieKatt,no Gargs pls,text_message,1703712656171913
252,add_chat_item,K4CP3R,you should finish the game with just the finger weapon,text_message,1703712656987857
253,add_chat_item,routersorbison,I think you beat Godskin Duo,text_message,1703712661737332
254,add_chat_item,Yez zir,gg,text_message,1703712680379237
255,add_chat_item,mestersz | سجاد ذبیح زاده,gg,text_message,1703712688230537
256,add_chat_item,Oji_Kay,sorry if stupid question but can you darksign or whatever the equivalent is called in a boss room if uou need to?,text_message,1703712688354272
257,add_chat_item,SlaytheSquire,Slicer is cracked,text_message,1703712696150482
258,add_chat_item,Cole Mitchell,ez w,text_message,1703712696773920
259,add_chat_item,Jan Rasmussen,Gargs in Elden Beast arena chance 1 out of 6,text_message,1703712697187497
260,add_chat_item,jsnyder88,Yep seed,text_message,1703712701305423
261,add_chat_item,Nikša Anić,YEP SEED,text_message,1703712701999494
262,add_chat_item,janhart ,bro just thunderclarted that shade to another dimension,text_message,1703712707016175
263,add_chat_item,Ryker Reese,no more scary arenas?,text_message,1703712709744343
264,add_chat_item,EllieKatt,cemetery shades are actually made of glass,text_message,1703712711563411
265,add_chat_item,Nikša Anić,Having crucible as final boss last run and gargs final in this would be kind of poetic,text_message,1703712733588510
266,add_chat_item,SlaytheSquire,ELDEN RICK. It's happening,text_message,1703712737672756
267,add_chat_item,T-Raver,ez balance,text_message,1703712740229270
268,add_chat_item,Andrey Pendzhurov,Dare disregard Rick?,text_message,1703712742021159
269,add_chat_item,Caleb Hedges,Don’t you disrespect god like that ,text_message,1703712750287669
270,add_chat_item,Dark Magpie Studios,atleast they all pretty open areas.,text_message,1703712754815938
271,add_chat_item,Jan Rasmussen,Fire Giant?,text_message,1703712762161813
272,add_chat_item,batsh- 47,Tich,text_message,1703712768069040
273,add_chat_item,Last Sigil,hello,text_message,1703712770051549
274,add_chat_item,T-Raver,easier without the archers,text_message,1703712775781318
275,add_chat_item,janhart ,i think u have 1 tree spirit left too,text_message,1703712782446470
276,add_chat_item,aaaaaaaaaaaaaa,need gargs with eb scaling,text_message,1703712789634724
277,add_chat_item,janhart ,and bofa?,text_message,1703712790467959
278,add_chat_item,Jan Rasmussen,PissBalls,text_message,1703712800051976
279,add_chat_item,routersorbison,high-scale Gargs aren't nearly as scary as cramped-arena gargs,text_message,1703712800332120
280,add_chat_item,EllieKatt,Wow this place is so much better without the archers and assasins,text_message,1703712809450211
281,add_chat_item,SillyLittleSausage,Have you tried the convergence mod,text_message,1703712813782975
282,add_chat_item,Nikša Anić,PISSBALLS,text_message,1703712814786289
283,add_chat_item,Josh,How do you feel about a challenge where you have to clear all enemies from a region before going to the next region?,text_message,1703712816657033
284,add_chat_item,Last Sigil,ulcerated tree spirits need to perish,text_message,1703712818336541
285,add_chat_item,Cerebral Energy,mages have a hard time with rennala,text_message,1703712818846240
286,add_chat_item,Brandyn Amado,the rando makes this town easier lol no assassins,text_message,1703712822404584
287,add_chat_item,Lobo Joguinhos,"THEY BROUGHT YOU FOOD, HOW NICE <3",text_message,1703712828716384
288,add_chat_item,T-Raver,get a snot rag somewhere else pissballs,text_message,1703712830247733
289,add_chat_item,SlaytheSquire,Paid actors,text_message,1703712830387097
290,add_chat_item,A Fish,wtf,text_message,1703712830795965
291,add_chat_item,zephyra eurus,"with standard enemies, is it just a random enemy or will it only use the amount of that type that there are usually",text_message,1703712834015239
292,add_chat_item,Dark Magpie Studios,that is one hell of a boy ban...,text_message,1703712834237998
293,add_chat_item,Nikša Anić,Actors,text_message,1703712834940506
294,add_chat_item,Alex H,you dont need friends you have us,text_message,1703712836282615
295,add_chat_item,terence terence,cgi,text_message,1703712836312430
296,add_chat_item,Nikša Anić,Bushy doesnt have friends,text_message,1703712838937440
297,add_chat_item,janhart ,rate them scaling on dumbness,text_message,1703712841937865
298,add_chat_item,Jan Rasmussen,WTF didnt know it was visiting hours in prison!,text_message,1703712843913678
299,add_chat_item,SillyLittleSausage,It’s a green screen,text_message,1703712843899757
300,add_chat_item,Penguinsbruh,its a greenscreen effect,text_message,1703712844941657
301,add_chat_item,batsh- 47,did you beat Andrew tate yet?,text_message,1703712846221179
302,add_chat_item,The Rainbow Star System (Maldwyn),The 3 ghosts of Christmas,text_message,1703712848141442
303,add_chat_item,Nikša Anić,IMAGINE being a grass toucher,text_message,1703712848587807
304,add_chat_item,Arczi,"3 guys, one Elden Lord",text_message,1703712849824573
305,add_chat_item,aaaaaaaaaaaaaa,if youre reading this switch his pc off,text_message,1703712852149176
306,add_chat_item,zephyra eurus,HUMANS,text_message,1703712853551287
307,add_chat_item,Last Sigil,OH DANG A WANDERING MOHG,text_message,1703712855092686
308,add_chat_item,Ricardo sanchez,what about the duo of knights,text_message,1703712855871162
309,add_chat_item,Nedsims67,Yep cock easy friend ,text_message,1703712856115004
310,add_chat_item,A Fish,get out you are disreacting him,text_message,1703712857703122
311,add_chat_item,Sam Nicholson,Friends…. Alright no need to brag!,text_message,1703712858702506
312,add_chat_item,JrobertN27,how am i seeing the figments of bushy's imagination rn,text_message,1703712859473904
313,add_chat_item,Slack,Rennala 1 Brings out Bushy's true feelings,text_message,1703712860114971
314,add_chat_item,Tixial,lmao,text_message,1703712860562761
315,add_chat_item,Yez zir,"beat it, real friends",text_message,1703712860611113
316,add_chat_item,Diegochi,Paid actors for Mr.Streamer xD,text_message,1703712862052584
317,add_chat_item,Reason,clearly pre recorded,text_message,1703712870349439
